수도권,,,,,,,
ID,제목,시작일,종료일,장소,최저가,관람시간,관람연령
E_00000139,연극 〈장녀들〉 - 용인,2025-09-06,,용인시 평생학습관 큰어울마당,"2층석20,000원",240분(인터미션 30분 포함),중학생이상
E_00000140,연극으로부터 〈세일즈맨의 죽음〉 - 과천,2025-08-23,,과천시민회관 대극장,"A석40,000원",180분(인터미션 15분 포함),14세 이상
경상,,,,,,,
ID,제목,시작일,종료일,장소,최저가,관람시간,관람연령
E_00000141,"신구, 박근형의 〈고도를 기다리며〉 THE FINAL - 구미",2025-08-08,2025-08-09,구미문화예술회관 대공연장,"A석30,000원",140분(인터미션 20분 포함),중학생이상
E_00000142,연극 〈어쩌다 게스트하우스〉 - 부산,2025-06-19,2025-09-21,BNK부산은행조은극장 2관,"전석40,000원",90분,8세이상
E_00000143,대구동성로 트리플콤비코믹연극 〈내 안의 그녀〉 - 대구,2025-07-03,2025-08-31,송죽씨어터,"전석40,000원",100분,11세 이상
E_00000144,대구동성로 코믹힐링연극 〈뷰티풀라이프〉,2025-09-25,2025-11-16,문화예술전용극장 CT,"전석40,000원",90분,미취학아동입장불가
E_00000145,연극 악몽의 엘레베이터 - 부산,2025-08-14,2025-09-07,전포와일드클럽 소극장,"전석40,000원",70분,만 14세이상
,,,,,,,
전라,,,,,,,
ID,제목,시작일,종료일,장소,최저가,관람시간,관람연령
E_00000146,연극 〈흉터〉 - 광주,2025-07-24,2025-08-31,상무지구 기분좋은극장,"전석40,000원",90분,14세 이상
E_00000147,국민연극 〈라이어 1탄〉 광주,2025-12-16,2025-12-25,광주5.18기념문화센터 민주홀,"R석49,000원",100분,만 7세이상
E_00000148,전주 브랜드공연(마당창극) ＇오! 난 토끼 아니오＇,2025-06-14,2025-10-18,전주한벽문화관 마당창극 야외공연장,"전석15,000원",80분,전체관람가
E_00000149,연극 한뼘사이 (전주),2025-11-21?,2025-12-25,한해랑아트홀,"전석40,000원",100분,12세이상
E_00000150,동백당 ; 빵집의 사람들 - 완주,2025-08-14,,완주문예회관 대극장,"전석10,000원",160분(인터미션 15분 포함),만 7세이상
