ID,제목,시작 날짜,종료 날짜,장소(지역),가격,관람시간,관람연령
E_00000334,태안 세계튤립꽃 박람회,2025-04-08,2025-05-06,코리아플라워파크 (태안),"14,000원",09:00-18:00,전체관람가
E_00000335,괴산고추축제,2025-09-04,2025-09-07,괴산유기농엑스포광장 (충북),무료,11:00~22:00,전체관람가
E_00000336,남해마늘한우축제,2025-06-12,2025-06-12,남해유배문학관 (경남),무료,10:30-21:00,전체관람가
E_00000337,의령 홍의장군 축제,2025-04-17,2025-04-20,의령군민공원 (경남),무료,10:00~22:00,전체관람가
E_00000338,얼음나라화천 산천어 축제,2025-01-11,2025-02-02,화천군 화천읍 산천어길 137 (강원),"15,000원",08:30-18:00,전체관람가
E_00000339,양구펀치볼 시래기사과 축제,2024-11-01,2025-11-03,펀치볼힐링하우스 앞 성황지 (강원),무료,10:00~22:00,전체관람가
E_00000340,정남진 장흥 물출제,2025-12-08,2025-12-10,장흥읍 건산리 805 (전남),무료,09:00-18:00,전체관람가
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
