ID	제목	시작일	종료일	장소	최저가(할인 미포함)	관람시간	관람연령
E_00000037	뮤지컬 〈우연히 행복해지다〉 - 부산	2025-04-25	2025-08-31	초콜릿팩토리	"전석60,000원"	100분	10세 이상
E_00000038	늦은봄날 - 부산	2025-06-06	2025-12-31	가온아트홀 2관	"전석60,000원"	120분	전체관람가
E_00000039	뮤지컬 〈독립군 아리랑〉 - 부산	2025-08-17		부산문화회관 대극장	"A석20,000원"	100분	만 7세이상
E_00000040	뮤지컬 〈왓 이프〉 - 부산	2025-09-06	2025-12-28	NC 백화점 부산대점 소극장(6층)	"전석50,000원"	100분	만 12세이상
							
ID	제목	시작일	종료일	장소	최저가	관람시간	관람연령
E_00000041	"K-컬처프로젝트 ＂소리킥＂ 〈태권유랑단, 녹두〉"	2025-09-19	2025-09-20	한국소리문화의전당 연지홀	"전석20,000원"	70분	6세이상
E_00000042	마당놀이 지신지신 - 전주	2025-08-08	2025-08-09	한국전통문화전당	"전석10,000원"	60분	48개월이상
E_00000043	언제는 행복하지 않은 순간이 있었나요 - 광주	2025-08-22	2025-08-23	극단예린소극장	"전석60,000원"	150분	전체관람가
E_00000044	조선셰프 한상궁 2025 - 전주	2025-06-20	2025-09-19	전주대사습청 야외공연장	"전석20,000원"	70분	전체관람가
E_00000045	뮤지컬 시작하는여자 끝내주는 남자 - 광주	2025-09-09	2025-10-05	상무지구 기분좋은극장	"40,000원"	100분	중학생이상
							
ID	제목	시작일	종료일	장소	최저가	관람시간	관람연령
E_00000046	뮤지컬 갈라 콘서트 ［Beyond the Stage］- 대전	2025-09-03		대전예술의전당 아트홀	"A석20,000원"	100분(인터미션 15분 포함)	초등학생이상
E_00000047	뮤지컬〈나의 첫사랑 레시피〉 - 홍성	2025-06-28	2025-09-13	나빌레라 소극장	"전석30,000원"	90분	8세이상
E_00000048	시그니처 대전_뮤지컬 ［시간을 넘어서］-대전	2025-09-05	2025-09-06	대전예술의전당 앙상블홀	"S석20,000원"	100분	중학생이상
E_00000049	뮤지컬 〈써니텐〉 - 대전	2025-05-16	오픈런	런던스테이지	"일반석40,000원"	100분	만 10세이상
E_00000050	"［청주,세종］뮤지컬 빌의구둣방"	2021-03-20	2025-12-29	소극장 쇠내골	"전석55,000원"	80분	만 9세이상
